Jmag,Hmag,Ksmag,3.6mag,4.5mag,5.8mag,8.0mag,24mag,AKs,alpha,Cl
15.55,14.25,13.59,12.87,12.44,11.88,10.75,5.03,0.58,-0.39,II
11.13,10.11,NaN,8.92,8.14,7.67,6.32,4.31,NaN,0.06,II
17.42,15.94,14.89,13.87,13.37,12.85,12.28,NaN,NaN,-1,II
12.66,11.63,11.18,10.69,10.43,9.92,8.95,6.08,0.39,-0.81,II
12.12,11.37,11.06,10.49,10.12,9.69,8.93,6.04,0,-1.05,II
14.31,12.9,11.85,10.52,10.06,9.8,9.26,6.54,0.38,-1.43,II
13.37,12.66,12.32,11.76,11.46,11.23,10.73,8.51,0.08,-1.67,II
NaN,NaN,NaN,15.06,13.96,13.33,12.77,NaN,NaN,-0.27,II
14.68,14.13,13.77,13.18,13.01,12.48,11.76,9.03,0,-1.15,II
13.95,13.37,12.97,12.35,12.06,11.71,11,7.34,0,-1.29,II
17.46,16.59,15.16,13.38,12.67,12.07,11.46,9.02,NaN,-0.65,II
11.93,11.13,10.6,9.9,9.5,9.15,8.27,4.46,0,-0.99,II
17.71,15.31,13.63,12.21,11.5,11.3,11.17,7.39,1.23,-1.71,II*
NaN,NaN,NaN,12.44,10.91,10.26,10.16,7.43,NaN,-0.32,II*
10.83,9.99,9.68,9.58,9.4,9.28,8.96,5.91,0.22,-2.14,II*
12.58,11.4,10.98,10.67,10.65,10.52,10.05,4.71,0.65,-2.12,II*
15.17,13.66,13.01,11.72,NaN,9.76,NaN,4.08,0.96,NaN,I*
16.31,14.71,13.7,12.63,NaN,11.15,NaN,6.45,0.8,NaN,I*
NaN,NaN,NaN,NaN,NaN,11.77,11.03,5.14,NaN,NaN,I*
NaN,NaN,NaN,15.5,14.91,13.94,NaN,6.03,NaN,NaN,I*
NaN,NaN,NaN,NaN,14.44,NaN,10.91,6.32,NaN,NaN,I*
13.78,12.16,11.01,10.02,8.99,8.19,7.19,2.46,0.69,0.37,I
NaN,NaN,NaN,15.45,14.1,12.75,11.72,NaN,NaN,1.47,I
NaN,NaN,NaN,13.77,12.99,12.2,11.19,NaN,NaN,0.12,I
NaN,NaN,NaN,15.07,14.07,13.2,12.34,NaN,NaN,0.29,I
NaN,NaN,NaN,13.87,12.44,11.27,10.09,NaN,NaN,1.47,I
NaN,NaN,NaN,13.44,12.02,10.92,10.11,NaN,NaN,0.96,I
15.78,14.18,13.18,10.52,9.68,8.9,7.95,3.64,0.79,0.1,I
15.09,12.43,10.03,7.93,6.67,5.69,5.03,1.49,1.18,0.47,I
16.95,15.51,14.54,13.17,12.2,11.43,10.05,5.68,0.57,0.7,I
NaN,13.62,10.72,7.83,6.72,5.82,4.91,1.31,3.13,0.48,I
16.68,15.19,13.94,13.01,11.79,10.7,9.38,5.33,0.39,1.31,I
16.13,15.03,14.29,13.51,12.99,12.63,12.18,NaN,0.25,-1.33,II
14.09,13.15,12.73,12.09,11.82,11.56,11.15,NaN,0.28,-1.77,II
11.76,10.72,10.11,9.34,8.97,8.74,8.25,5.85,0.27,-1.61,II
15.55,13.95,12.89,12.14,11.62,11.37,10.57,7.4,0.74,-1.1,II
NaN,NaN,NaN,13.57,12.88,12.47,11.92,NaN,NaN,-0.98,II
15.02,14.19,13.7,13.17,12.83,12.58,11.86,8.9,0.04,-1.36,II
14.83,14.08,13.65,13.05,12.63,12.28,11.61,8.77,0,-1.19,II
13.01,12.14,11.78,11.24,10.84,10.32,9.48,6.87,0.22,-0.8,II
NaN,15.9,15.22,13.87,13.29,12.81,12.06,NaN,0,-0.78,II
13.68,13.01,12.63,11.91,11.56,11.19,10.3,7.74,0,-1,II
NaN,NaN,NaN,14.1,12.78,12.24,11.72,NaN,NaN,-0.22,II
12.29,10.56,9.53,8.52,8.1,7.73,6.92,4.11,0.98,-1.03,II
NaN,NaN,NaN,14.41,13.78,13.02,11.99,NaN,NaN,-0.03,II
15.47,14.65,14.11,13.6,13.43,13.52,NaN,NaN,0,NaN,II
15.6,14.04,13.03,11.95,11.53,11.1,10.68,NaN,0.72,-1.37,II
12.05,11.12,10.66,9.91,9.56,9.33,8.54,5.46,0.22,-1.31,II
12.15,11.07,10.42,9.62,9.21,8.86,7.91,4.11,0.28,-0.9,II
13.49,12.29,11.39,10.83,10.3,10,9.3,6.54,0.25,-1.13,II
13.45,10.78,8.93,7.25,6.49,5.85,4.97,2.17,1.71,-0.23,II
14.17,13.39,12.94,12.35,12.14,11.81,11.14,7.43,0,-1.43,II
NaN,NaN,14.54,13.13,12.57,12.06,11.42,7.3,NaN,-0.88,II
NaN,NaN,NaN,14.94,14.14,13.82,13.1,NaN,NaN,-0.81,II
NaN,NaN,13.91,10.82,9.75,9,8.58,6.47,NaN,-0.29,II
NaN,15.06,13.95,12.62,12.09,11.47,10.88,7.52,0.68,-0.82,II
14.4,13.78,13.31,12.61,12.18,11.74,11.2,NaN,0,-1.2,II
NaN,NaN,NaN,14.62,13.92,13.42,12.27,7.75,NaN,-0.19,II
13.22,12.41,11.93,11.24,10.9,10.52,9.88,NaN,0.02,-1.28,II
16.88,15.34,14.55,13.44,12.8,12.05,11.37,NaN,0.9,-0.43,II
15.92,15.22,14.41,13.88,13.74,13.69,NaN,NaN,0,NaN,II
12.78,11.22,10.33,9.32,9.02,8.57,7.99,5.66,0.83,-1.28,II
14.53,13.62,13.24,12.76,12.48,12.27,NaN,NaN,0.25,NaN,II
14.16,13.22,12.78,12.25,12,11.66,11.06,NaN,0.25,-1.45,II
14.07,13.27,12.88,12.35,12.06,11.71,10.79,7.66,0.08,-1.06,II
15.73,NaN,NaN,10.38,9.94,9.6,9.01,6.21,NaN,-1.28,II
12.09,10.54,9.69,8.9,8.59,8.22,7.79,3.16,0.85,-1.54,II
13.22,12.27,11.87,11.46,11.18,10.97,10.56,7.41,0.31,-1.81,II
13.82,12.54,11.53,10.28,9.73,9.3,8.69,6.13,0.28,-1.03,II
NaN,NaN,NaN,10.7,10.42,10.15,9.34,7.37,NaN,-1.29,II
12.7,11.79,11.41,11.04,10.74,10.44,9.83,NaN,0.28,-1.45,II
16.41,14.28,13.18,12.37,12.07,11.91,11.36,7.82,1.55,-1.72,II
13.7,12.92,12.51,11.91,11.63,11.28,10.93,NaN,0.04,-1.69,II
12.66,11.67,11.32,10.78,10.49,10.11,9.27,6.78,0.42,-1.1,II
NaN,14.86,12.51,9.67,8.77,8.07,7.24,3.53,2.43,-0.07,II
12.49,11.28,10.62,9.27,8.84,8.57,8.15,5.46,0.48,-1.58,II
NaN,13.05,12.58,12.02,11.71,11.15,10.51,NaN,0,-1.05,II
12.55,11.28,10.7,9.98,9.72,9.37,8.41,4.6,0.66,-1.04,II
12.56,11.6,11.1,10.67,10.21,9.69,8.94,6.18,0.24,-0.84,II
15.15,13.76,13.03,12.49,12.23,12.04,11.49,6.37,0.7,-1.71,II
14.33,13.64,13.17,12.71,12.42,12.07,11.15,7.41,0,-1.05,II
13.5,12.74,12.4,11.94,11.75,11.4,10.75,NaN,0.07,-1.46,II
14.67,13.01,12.26,11.46,11.07,10.61,9.94,NaN,1.12,-1.08,II
15.7,14.58,13.78,13.06,12.47,12.08,11.5,NaN,0.21,-1.08,II
12.87,11.95,11.53,10.96,10.76,10.24,9.55,NaN,0.24,-1.16,II
12.48,11.27,10.64,9.5,9,8.63,7.75,4.38,0.51,-0.86,II
15.02,14.1,13.41,12.73,12.33,11.91,11.27,6.98,0,-1.16,II
10.08,8.87,8.14,6.99,6.5,6.34,5.63,2.79,0.42,-1.36,II
12.99,11.56,10.84,9.92,9.63,9.37,8.74,5.41,0.79,-1.49,II
14.43,13.76,13.32,12.86,12.61,12.33,11.77,NaN,0,-1.58,II
13.74,12.98,12.57,12.08,11.82,11.51,10.96,8.18,0,-1.55,II
13.5,12.57,11.99,11.32,11.09,10.88,10.44,NaN,0.12,-1.84,II
12.95,11.98,11.46,11.01,10.56,10.24,9.68,5.99,0.23,-1.34,II
12,11.13,10.77,10.34,10.11,9.88,9.3,6.69,0.22,-1.65,II
15.34,13.41,12.3,11.17,10.73,10.36,9.64,5.98,1.23,-1.1,II
14.38,12.87,12.11,11.61,11.35,11.11,10.69,6.73,0.86,-1.78,II
11.93,10.77,10.14,9.65,9.33,9.05,8.35,4.12,0.45,-1.36,II
13.67,12.87,12.33,11.58,11.17,10.65,9.93,7.18,0,-0.92,II
15.22,14.37,13.75,12.87,12.38,11.85,NaN,NaN,0,NaN,II
14.93,13.14,12.38,11.76,11.55,11.26,10.89,NaN,1.26,-1.82,II
15.53,14.45,13.72,12.72,12.29,11.83,11.38,NaN,0.23,-1.28,II
14.97,13.58,12.74,11.82,11.32,10.88,10.01,6.76,0.6,-0.77,II
NaN,NaN,NaN,10.85,10.25,9.88,9.29,6.21,NaN,-1.09,II
13.47,12.35,11.82,11.11,10.69,10.28,9.72,NaN,0.46,-1.24,II
13.62,11.65,10.64,9.71,9.27,8.83,8.12,5.2,1.38,-1.02,II
14.88,14.04,13.48,12.8,12.43,12.13,NaN,NaN,0,NaN,II
15.33,13.77,12.95,12.26,11.96,11.66,10.97,NaN,0.9,-1.37,II
13.49,12.27,11.61,10.98,10.72,10.46,9.95,6.52,0.5,-1.66,II
NaN,NaN,NaN,12,11.58,11.11,10.36,NaN,NaN,-0.95,II
14.21,13.24,12.65,11.96,11.59,11.27,10.71,NaN,0.18,-1.41,II
15.4,13.29,11.91,10.74,10.17,9.95,9.22,6.19,1.25,-1.16,II
15.64,13.37,11.99,10.98,10.34,9.87,9.2,4.65,1.5,-0.82,II
13.33,12.34,11.9,11.33,10.96,10.52,9.67,6.95,0.34,-0.92,II
14.87,14.11,13.71,13.09,12.77,NaN,NaN,NaN,0,NaN,II
7.95,7.53,7.25,6.96,6.79,6.56,5.76,3.05,0,-1.46,II
12.08,10.94,10.39,9.71,9.48,9.01,8.26,5.69,0.47,-1.14,II
13.25,12.31,11.83,11.24,10.91,10.42,9.64,NaN,0.22,-0.98,II
14.13,12.78,11.84,10.97,10.51,10.05,9.25,NaN,0.45,-0.88,II
15.89,15.19,14.57,13.96,13.56,NaN,NaN,NaN,0,NaN,II
13.93,13.09,12.65,12.04,11.65,11.26,10.23,NaN,0.11,-0.77,II
9.21,8.49,8.19,7.94,7.73,7.53,7.16,5.18,0.05,-1.94,II
12.48,11.44,10.99,10.34,10.09,9.65,8.7,NaN,0.42,-0.93,II
13.07,11.84,11.28,10.84,10.54,10.29,9.44,5.21,0.6,-1.26,II
11.45,10.44,9.87,9.2,8.85,8.45,7.63,5.09,0.26,-1.03,II
13.34,12.48,12.06,11.53,11.24,10.87,10.13,NaN,0.15,-1.23,II
14.44,13.68,13.26,12.82,12.66,12.59,NaN,NaN,0,NaN,II
11.18,10.23,9.85,9.59,9.23,8.66,7.58,4.97,0.34,-0.5,II
11.94,10.9,10.47,9.8,9.59,9.33,8.54,4.5,0.43,-1.4,II
14.13,13.4,13.01,12.23,11.95,11.63,10.92,6.39,0,-1.34,II
12.65,11.8,11.44,11.01,10.77,10.45,10.04,NaN,0.18,-1.71,II
12.46,11.46,11.09,10.62,10.3,10.02,9.26,NaN,0.42,-1.3,II
12.23,11.28,10.78,10.25,10.02,9.8,9.24,6.28,0.22,-1.68,II
13.97,12.97,12.42,11.73,11.47,10.74,NaN,NaN,0.26,NaN,II
14.35,13.56,13.13,12.54,12.08,11.78,NaN,NaN,0.03,NaN,II
15.46,14.86,14.25,13.73,13.52,13.23,NaN,NaN,0,NaN,II
NaN,NaN,NaN,9.45,8.96,8.57,7.83,5.2,NaN,-1,II
13.63,12.36,11.79,11.04,10.57,10.2,9.6,5.43,0.66,-1.2,II
13.23,12.22,11.71,11.08,10.73,10.35,9.78,NaN,0.31,-1.33,II
14.61,13.61,12.98,12.04,11.59,11.03,10.06,6.57,0.17,-0.56,II
12.29,11.25,10.83,10.43,9.97,9.35,8.2,5.11,0.44,-0.25,II
12.88,11.87,11.34,10.06,9.61,9.17,8.39,NaN,0.3,-0.93,II
11.03,9.94,9.33,8.56,8.18,7.85,7.21,4.15,0.35,-1.29,II
15.84,14.08,13.01,11.67,10.95,10.28,9.43,5.99,0.98,-0.26,II
14.54,13.71,13.19,12.73,12.33,11.78,10.94,NaN,0.02,-0.76,II
15.21,14.3,13.71,13.14,12.93,12.76,NaN,NaN,0.09,NaN,II
15.2,14.3,13.74,13.11,12.82,12.46,11.92,NaN,0.09,-1.46,II
NaN,NaN,NaN,15.02,14.62,14.07,13.75,NaN,NaN,-1.33,II
13.8,12.45,11.88,11.31,11.06,10.78,10.29,6.5,0.78,-1.65,II
11.02,9.99,9.47,9.08,8.88,8.62,8.13,3.64,0.33,-1.74,II
NaN,NaN,15.11,13.41,12.78,12.25,11.78,NaN,NaN,-0.98,II
15.67,14.74,14.01,13.25,12.89,12.39,11.7,9.05,0,-1.04,II
14.4,13.61,13.1,12.63,12.36,12.03,11.4,8.29,0,-1.42,II
14.19,13.42,12.95,12.56,12.28,11.96,11.23,NaN,0,-1.32,II
NaN,NaN,NaN,14.3,13.71,13.19,12.82,NaN,NaN,-1.14,II
16.57,15.41,14.66,14.03,13.68,13.35,12.53,NaN,0.34,-1.14,II
14.16,13.37,12.93,12.27,12.07,11.76,11.23,NaN,0.01,-1.62,II
15.69,14.63,14.03,13.44,13.24,12.99,12.62,NaN,0.3,-1.88,II
NaN,14.03,13.47,12.91,12.52,12.17,11.57,NaN,0,-1.31,II
14.55,13.6,13.06,12.02,11.68,11.48,10.81,7.89,0.19,-1.49,II
12.01,10.55,9.59,8.07,7.63,6.95,6.05,3.31,0.62,-0.48,II
13.75,12.82,12.34,11.97,11.75,11.49,11.05,7.98,0.21,-1.77,II
11.12,9.98,9.35,8.62,8.23,7.91,7.28,3.91,0.39,-1.31,II
NaN,16.05,15.35,14.33,13.82,13.48,12.8,NaN,0,-1.11,II
15.57,14.72,14.19,13.83,13.61,13.62,NaN,NaN,0.03,NaN,II
12.05,11.11,10.59,9.93,9.58,9.18,8.17,4.58,0.18,-0.82,II
13.7,12.5,11.89,11.47,11.01,10.64,9.87,7.04,0.53,-1.02,II
15.63,13.61,12.49,11.5,11.23,10.93,10.84,6.85,1.34,-2.06,II*
12.05,11.13,10.79,10.35,10.25,10.06,9.57,4.6,0.32,-1.94,II*
13.03,12.14,11.75,11.04,10.91,10.49,9.84,6.79,0.21,-1.41,II*
13.41,12.64,12.27,11.87,11.71,11.48,10.81,6.62,0.05,-1.62,II*
12.12,11.15,10.79,10.54,10.47,10.32,9.9,5.25,0.38,-2.09,II*
12.98,11.7,11.14,10.65,10.47,10.27,9.58,5.92,0.7,-1.62,II*
11.69,10.48,9.83,8.91,8.57,8.59,7.69,4.71,0.49,-1.54,II*
13.26,12.02,11.42,11.01,10.81,10.65,10.11,5.55,0.59,-1.82,II*
14.37,13.54,13.09,12.54,12.47,12.37,NaN,7.52,0.08,NaN,II*
15.55,14,13.18,12.39,12.05,11.77,11.57,9.14,0.88,-1.9,II*
NaN,15.14,14.1,12.67,12.16,12.06,12.2,4.78,0.58,-2.35,I*
NaN,15.63,14.77,13.21,12.46,11.69,10.55,6.89,0,0.21,I
10.4,9.48,8.82,7.81,7.42,7.19,6.63,3.48,0.02,-1.52,II
11.94,11.06,10.5,9.81,9.38,9.09,8.2,4.41,0.07,-1.03,II
7.65,6.92,6.09,5.11,4.57,3.96,3.1,0.66,0,-0.5,II
15.99,14.99,14.53,12.71,12.04,11.27,10.41,7.92,0.34,-0.17,II
12.04,11.24,10.95,10.68,10.56,9.94,9.32,5.79,0.18,-1.17,II*
NaN,NaN,15.34,NaN,14.05,NaN,10.88,6.31,NaN,NaN,I*
16.48,13.38,11.06,9.27,8.06,6.85,5.84,1.43,1.97,1.12,I
NaN,NaN,NaN,14.96,13.87,12.69,11.49,7.91,NaN,1.17,I
NaN,NaN,NaN,16.2,14.96,13.65,12.08,8.14,NaN,1.9,I
NaN,NaN,NaN,14.08,13.08,12.23,11.22,NaN,NaN,0.42,I
10.52,9.77,9.36,8.56,7.67,6.56,4.95,1.96,0,1.33,I
15.19,12.37,10.27,7.99,7.1,6.3,5.54,1.92,1.72,-0.03,I
8.74,7.02,5.79,5.51,4.64,3.62,2.23,NaN,0.78,0.95,I
12.87,11.49,10.97,10.1,8.9,7.59,5.69,0.9,0.82,2.24,I
13.78,12.35,11.18,9.24,8.51,7.76,6.84,2.75,0.37,-0.07,I
13.64,11.52,10.37,8.99,8.41,7.74,6.65,NaN,1.47,-0.14,II
NaN,NaN,NaN,14.1,13.61,13.03,12.2,8.56,NaN,-0.65,II
13.16,12.33,11.64,10.9,10.27,9.87,8.94,5.96,0,-0.63,II
NaN,NaN,NaN,13.13,11.91,11.24,10.5,3.56,NaN,0.08,II
7.49,6.64,6.21,6.02,5.58,5.14,4.49,1.48,0.12,-1.08,II
10.33,9.39,8.76,7.85,7.46,7.17,6.25,2.84,0.09,-1.04,II
9.47,8.67,8.19,7.48,7.01,6.55,5.61,1.95,0,-0.7,II
9.56,8.24,7.13,5.72,5.27,4.86,4.43,1.58,0.23,-1.34,II
11.73,10.58,9.88,8.49,7.89,7.42,6.5,3.56,0.34,-0.58,II
12.48,9.88,7.78,6.59,5.73,5.12,4.38,NaN,1.36,-0.33,II
11.52,9.42,7.79,7.03,6.35,5.68,4.8,NaN,1,-0.27,II
11.18,9.25,8.24,7.46,6.88,6.29,5.13,0.47,1.31,-0.17,II
9.65,8.57,8.12,7.69,7.24,6.88,5.87,2.82,0.48,-0.79,II
NaN,NaN,NaN,14.16,13.59,12.94,12.06,NaN,NaN,-0.41,II
14.76,13.78,13.31,13.16,12.84,NaN,12.88,NaN,0.3,NaN,II
NaN,NaN,15.35,14.29,14.05,13.85,13.32,NaN,NaN,-1.74,II
9.83,8.97,8.6,7.99,7.68,7.32,6.74,4.48,0.19,-1.4,II
11.89,11.14,10.79,10.81,10.37,9.81,8.86,5.96,0.04,-0.58,II
11.02,9.73,9.08,8.2,7.87,7.26,6.41,3.98,0.62,-0.74,II
12.95,11.66,10.96,10.23,9.88,9.5,8.81,6.09,0.58,-1.21,II
9.83,8.68,7.88,6.5,5.73,5.27,4.42,NaN,0.26,-0.51,II
NaN,NaN,NaN,14.18,13.42,12.83,11.99,6.77,NaN,-0.36,II
13.77,10.71,9.22,8.29,8.1,7.87,7.52,3.43,2.59,-1.94,II
16.23,12.92,11.05,9.36,8.82,8.39,7.94,4.63,2.69,-1.22,II
10.49,9.7,9.31,8.73,8.38,8.07,7.42,4.91,0.07,-1.35,II
NaN,NaN,NaN,15.24,14.71,14.39,13.58,NaN,NaN,-0.99,II
10.95,10.37,9.97,9.42,8.9,8.22,7.26,4.81,0,-0.32,II
10.55,9.61,9.24,8.72,8.43,8.53,7.5,4.33,0.32,-1.55,II*
10.53,9.6,9.13,8.82,8.69,8.55,8.24,3.65,0.22,-2.17,II*
NaN,NaN,NaN,10.32,NaN,6.61,NaN,1.59,NaN,NaN,I*
NaN,NaN,NaN,15.38,15.09,NaN,NaN,6.76,NaN,NaN,I*
NaN,16.29,13.7,11.74,10.82,9.76,8.48,4.59,2.98,0.93,I
NaN,NaN,NaN,12.7,11.59,10.72,9.81,6.49,NaN,0.45,I
NaN,16.19,14.97,11.22,10.04,9.25,8.67,NaN,0,0.04,I
NaN,NaN,13.95,11.28,10.37,9.27,7.98,NaN,NaN,0.98,I
NaN,14.88,13.52,11.23,10.26,9.53,8.76,4,0,-0.02,I
15.74,13.73,11.91,9.49,8.75,8.17,NaN,NaN,0.67,NaN,I
NaN,15.87,15.43,13.49,12.46,11.57,10.15,6.15,0,0.95,I
16.39,14.93,14.27,13.29,12.93,12.64,NaN,NaN,0.88,NaN,II
12.11,11,10.47,9.59,9.34,9.04,8.16,5.78,0.45,-1.2,II
15.07,13.87,13.35,12.74,12.49,12.19,11.65,NaN,0.6,-1.58,II
13.82,12.22,11.52,10.44,10.02,9.53,8.74,6.32,1.06,-0.87,II
16.01,14.64,13.93,13.11,12.74,12.33,11.52,NaN,0.7,-1.02,II
14.69,13.23,12.44,11.29,10.72,10.13,9.15,5.66,0.77,-0.38,II
15.31,14.09,13.4,12.71,12.51,12.03,11.32,NaN,0.49,-1.19,II
14.44,13.14,12.42,11.1,10.51,9.85,8.81,6.75,0.58,-0.21,II
14.78,13.36,12.59,11.82,11.51,11.16,10.63,NaN,0.74,-1.46,II
15.84,14.31,13.34,12.41,11.88,11.28,10.53,NaN,0.7,-0.67,II
15.45,13.19,11.41,9.07,8.45,7.93,7.16,4.03,1.11,-0.66,II
NaN,14.6,12.87,11.23,10.55,10.26,9.76,6.36,1.66,-1.21,II
15.77,13.05,11.43,9.79,9.07,8.54,7.67,3.96,2,-0.44,II
16.81,15.08,14.02,12.71,12.1,11.65,10.81,NaN,0.95,-0.69,II
17.03,14.85,13.8,12.4,11.91,11.33,NaN,NaN,1.67,NaN,II
NaN,15.71,14.63,13.69,13.26,13.07,12.19,NaN,0.93,-1.18,II
14.43,12.68,11.74,10.55,10.04,9.44,8.54,4.86,1.08,-0.51,II
12.62,11.44,10.85,9.97,9.39,8.78,7.97,3.97,0.5,-0.54,II
15.71,14.34,13.67,12.77,12.38,11.98,NaN,NaN,0.74,NaN,II
14.95,13.8,13.31,12.82,12.56,12.38,NaN,NaN,0.56,NaN,II
15.55,14.63,14.12,13.73,13.47,NaN,NaN,NaN,0.17,NaN,II
17.09,15.43,14.64,13.5,12.97,NaN,NaN,NaN,1.06,NaN,II
15.95,13.66,12.29,11.31,10.69,10.48,NaN,NaN,1.54,NaN,II
14.79,13.29,12.53,11.66,11.32,10.53,NaN,NaN,0.84,NaN,II
15.28,14.04,13.31,12.52,12.07,11.59,NaN,NaN,0.47,NaN,II
11.59,10.24,9.37,8.27,7.85,7.45,6.67,4.1,0.52,-1.01,II
NaN,15.69,14.61,13.13,12.36,11.69,10.7,NaN,0,-0.07,II
NaN,15.46,14.06,12.25,11.73,NaN,NaN,NaN,1.4,NaN,II
15.02,14.08,13.52,12.68,12.32,11.97,11.35,NaN,0.15,-1.31,II
12.42,10.87,10.12,9.37,9.05,8.73,8.18,NaN,0.94,-1.47,II
13.67,12.39,11.89,11.32,11.04,10.43,NaN,NaN,0.72,NaN,II
14.21,NaN,NaN,11.06,10.65,9.97,8.63,NaN,NaN,-0.02,II
14.07,12.82,12.15,11.48,11.04,NaN,NaN,NaN,0.54,NaN,II
14.63,13.45,12.85,11.6,11.17,10.12,NaN,NaN,0.49,NaN,II
11.98,10.54,9.62,8.36,7.86,7.46,6.86,3.93,0.61,-1.12,II
13.48,12.11,11.35,10.51,10.11,9.45,NaN,NaN,0.65,NaN,II
14.11,13.05,12.63,12.15,11.84,NaN,NaN,NaN,0.45,NaN,II
13.42,12.08,11.32,10.14,9.72,9.39,8.62,NaN,0.6,-1.11,II
13.29,12.19,11.66,10.94,10.37,9.77,8.77,NaN,0.44,-0.34,II
15,13.68,12.95,11.74,11.22,NaN,NaN,NaN,0.6,NaN,II
15.5,14.16,13.26,12.26,11.82,NaN,NaN,NaN,0.46,NaN,II
12.31,10.8,10.16,9.29,8.93,8.36,7.45,NaN,0.96,-0.68,II
15.08,14.06,13.53,12.53,11.7,NaN,NaN,NaN,0.3,NaN,II
15.07,13.53,12.75,11.73,11.07,10.17,NaN,NaN,0.9,NaN,II
11.94,10.37,9.52,8.5,8.13,7.59,6.87,NaN,0.9,-0.94,II
13.15,11.63,10.8,9.72,9.23,8.61,NaN,NaN,0.81,NaN,II
15.28,14.32,13.85,13.25,12.98,NaN,NaN,NaN,0.26,NaN,II
14.03,12.63,11.91,11.05,10.69,NaN,NaN,NaN,0.73,NaN,II
14.66,13.11,12.04,10.01,9.47,9.18,8.63,NaN,0.65,-1.3,II
12.01,10.73,10.06,9.27,8.92,8.51,7.71,NaN,0.59,-1.03,II
13.69,12.3,11.56,10.41,9.96,9.52,8.39,NaN,0.7,-0.54,II
13.28,11.45,10.44,8.93,8.33,8.1,NaN,NaN,1.15,NaN,II
12.16,10.5,9.45,8.04,7.47,6.96,6.22,NaN,0.83,-0.76,II
16.64,14.91,13.81,12.76,12.23,NaN,NaN,NaN,0.9,NaN,II
14.88,13.46,12.53,11.73,11.12,NaN,NaN,NaN,0.57,NaN,II
14.06,12.58,11.76,10.82,10.12,NaN,NaN,NaN,0.78,NaN,II
15.09,13.81,13.1,12.24,11.91,11.75,NaN,NaN,0.55,NaN,II
10.75,9.99,9.45,8.55,8.22,7.85,7.3,4.01,0,-1.39,II
15.93,12.68,10.71,8.87,8.19,7.69,7.18,NaN,2.52,-0.92,II
13.32,11.42,10,8.22,7.66,7.11,6.46,3.77,0.88,-0.81,II
14.52,12.64,11.45,9.7,9.17,8.79,NaN,NaN,1.05,NaN,II
14.76,13.78,13.39,12.87,12.61,NaN,NaN,NaN,0.37,NaN,II
15.3,13.64,12.54,10.8,10.36,NaN,NaN,NaN,0.79,NaN,II
13.72,12.25,11.58,10.79,10.37,NaN,8.28,NaN,0.9,NaN,II
15.05,13.61,12.82,12.1,11.63,NaN,NaN,NaN,0.74,NaN,II
14.16,11.81,10.51,8.94,8.5,NaN,NaN,NaN,1.69,NaN,II
11.88,10.69,10.05,9.2,8.74,8.27,NaN,NaN,0.49,NaN,II
16.01,15.13,14.7,14.09,13.71,NaN,NaN,NaN,0.17,NaN,II
15.05,12.75,11.42,9.99,9.46,NaN,NaN,NaN,1.6,NaN,II
16.49,13.48,11.88,10.56,9.94,9.36,NaN,NaN,2.47,NaN,II
14.87,13.29,12.43,11.41,10.85,NaN,NaN,NaN,0.88,NaN,II
15.5,12.62,10.93,9.27,8.71,8.26,NaN,NaN,2.19,NaN,II
NaN,13.8,11.98,10.26,9.52,7.83,NaN,NaN,1.69,NaN,II
13.63,12.49,12.03,11.37,10.96,NaN,NaN,NaN,0.55,NaN,II
15.85,13.96,13.07,12.05,11.51,NaN,NaN,NaN,1.36,NaN,II
14.86,13.71,12.89,11.86,11.4,10.59,NaN,NaN,0.25,NaN,II
15.64,14.17,13.36,12.29,11.91,NaN,NaN,NaN,0.78,NaN,II
16.36,15.06,14.4,13.41,13.09,12.65,12.14,NaN,0.64,-1.35,II
16.32,14.89,13.81,12.88,12.37,NaN,NaN,NaN,0.44,NaN,II
15.68,14.32,13.28,12.03,11.43,11.08,10.41,NaN,0.39,-1.02,II
13.57,11.75,10.37,8.37,7.79,7.16,6.39,4.32,0.79,-0.54,II
12.74,11.49,10.91,9.78,9.41,8.98,8.2,5.4,0.61,-1.01,II
14.76,13.75,13.26,11.99,11.35,10.94,10.26,NaN,0.31,-0.89,II
14.05,NaN,NaN,10.83,10.4,10.03,9.32,6.24,NaN,-1.12,II
15.15,13.92,13.31,12.63,12.1,11.29,10.17,7.56,0.58,0.02,II
NaN,15.65,14.99,13.98,13.5,12.85,12.2,NaN,0,-0.75,II
14.85,13.91,13.44,12.83,12.62,12.42,11.87,NaN,0.25,-1.74,II
13.67,12.75,12.27,11.6,11.32,10.89,10.42,7.68,0.21,-1.45,II
NaN,15.83,15.18,14.18,13.57,13.24,12.75,NaN,0,-1.24,II
14.32,13.25,12.86,12.35,12.21,11.8,11.24,8.43,0.5,-1.52,II*
14.78,13.74,13.29,12.83,12.75,12.75,NaN,8.48,0.4,NaN,II*
13.22,12.25,11.92,11.68,11.61,11.35,NaN,5.89,0.4,NaN,II*
14.58,13.55,13.08,12.55,12.4,12.12,NaN,6.89,0.39,NaN,II*
13.77,12.68,12.27,11.97,11.87,11.84,11.65,7.58,0.52,-2.49,II*
13.71,11.51,9.82,7.12,5.63,4.23,2.86,NaN,1.12,2.06,I
10.62,9.17,7.41,5.43,4.6,3.61,2.98,NaN,0,0.03,I
16.61,13.63,11.41,8.71,7.13,6,5.08,0.35,1.84,1.28,I
